data,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,GWETROOT,ano,mes,dia
2026-08-07,0.01,26.47,34.01,20.43,65.51,17.69,1.33,0.5,2026,8,7
2026-08-08,0.0,27.06,34.78,20.86,64.32,18.86,1.36,0.49,2026,8,8
2026-08-09,0.0,28.27,36.26,21.12,59.79,18.65,1.07,0.49,2026,8,9
2026-08-10,0.0,28.35,36.59,21.82,52.36,19.08,1.63,0.49,2026,8,10
2026-08-11,0.01,28.5,36.46,21.97,43.75,17.28,1.75,0.49,2026,8,11
2026-08-12,0.0,28.21,35.7,20.46,40.66,20.13,1.2,0.48,2026,8,12
2026-08-13,0.0,27.64,35.1,20.16,41.26,,1.27,0.48,2026,8,13
2026-08-14,0.0,27.26,35.52,19.28,42.97,,1.18,0.48,2026,8,14
2026-08-15,,,,,,,,,2026,8,15
2026-08-16,,,,,,,,,2026,8,16
