data,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,GWETROOT,ano,mes,dia
2026-08-07,0.0,25.99,33.48,19.78,71.32,19.08,0.96,0.56,2026,8,7
2026-08-08,0.0,26.72,34.41,20.18,70.53,19.07,0.95,0.55,2026,8,8
2026-08-09,0.0,27.55,35.31,20.99,68.04,19.62,0.94,0.55,2026,8,9
2026-08-10,0.01,28.38,36.46,21.24,60.92,20.02,1.15,0.55,2026,8,10
2026-08-11,0.02,28.26,36.67,20.18,52.22,20.3,0.9,0.55,2026,8,11
2026-08-12,0.0,27.55,35.2,21.56,55.64,18.44,1.28,0.54,2026,8,12
2026-08-13,0.0,26.94,34.63,20.17,54.5,,1.36,0.54,2026,8,13
2026-08-14,0.0,26.86,35.38,19.38,53.03,,1.05,0.54,2026,8,14
2026-08-15,,,,,,,,,2026,8,15
2026-08-16,,,,,,,,,2026,8,16
