data,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,GWETROOT,ano,mes,dia
2026-08-07,0.0,26.43,34.24,20.01,67.78,18.09,1.31,0.54,2026,8,7
2026-08-08,0.0,27.14,35.2,20.42,66.76,18.73,1.25,0.53,2026,8,8
2026-08-09,0.21,28.17,36.7,20.86,64.3,19.06,1.12,0.53,2026,8,9
2026-08-10,0.02,28.86,37.37,21.95,55.06,19.3,1.57,0.53,2026,8,10
2026-08-11,0.05,28.99,37.24,21.41,44.08,20.11,1.48,0.53,2026,8,11
2026-08-12,0.0,28.3,35.99,21.37,45.06,19.87,1.39,0.52,2026,8,12
2026-08-13,0.0,27.63,35.45,20.2,47.53,,1.45,0.52,2026,8,13
2026-08-14,0.0,27.2,36.01,19.55,48.02,,1.15,0.52,2026,8,14
2026-08-15,,,,,,,,,2026,8,15
2026-08-16,,,,,,,,,2026,8,16
