Safra,Cidade,Mes,Mes_Num,Ano_Calendario,Fase_Fenologica,Data_Liquidacao,Dias_Uteis_Vencimento,Taxa_Juros_Usada_pct,Chuva_Media_Hist_mm,N_Anos_Historico,Strike_Pct,Strike_mm,Prob_Acionamento_Hist,Prob_Acionamento_MC,Premio_HBA_RS,Premio_MC_RS,Premio_Medio_RS,Payoff_Max_RS,VaR95_Vendedor_RS,Payoff_P99_RS
2026/2027,Sorriso,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,54.3,36,30%,16.3,0.167,0.155,257.36,180.85,219.1,9000.0,1304.06,2029.68
2026/2027,Sorriso,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,54.3,36,40%,21.7,0.167,0.223,417.34,361.47,389.4,9000.0,2123.74,2855.54
2026/2027,Sorriso,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,54.3,36,50%,27.2,0.194,0.3,595.71,623.09,609.4,9000.0,2961.11,3679.44
2026/2027,Sorriso,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,54.3,36,60%,32.6,0.306,0.366,828.95,933.8,881.38,9000.0,3759.68,4497.01
2026/2027,Sorriso,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,54.3,36,70%,38.0,0.361,0.434,1131.82,1332.63,1232.23,9000.0,4578.25,5310.2
2026/2027,Sorriso,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,54.3,36,80%,43.5,0.417,0.496,1501.5,1781.77,1641.64,9000.0,5434.49,6124.07
2026/2027,Sorriso,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,143.5,36,30%,43.1,0.0,0.002,0.0,1.83,0.92,9000.0,0.0,0.0
2026/2027,Sorriso,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,143.5,36,40%,57.4,0.056,0.012,89.2,17.05,53.13,9000.0,0.0,311.82
2026/2027,Sorriso,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,143.5,36,50%,71.8,0.056,0.041,228.43,77.03,152.73,9000.0,0.0,2421.7
2026/2027,Sorriso,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,143.5,36,60%,86.1,0.056,0.097,367.66,242.22,304.94,9000.0,1688.74,4478.23
2026/2027,Sorriso,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,143.5,36,70%,100.5,0.139,0.189,619.59,599.83,609.71,9000.0,3868.57,6740.92
2026/2027,Sorriso,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,143.5,36,80%,114.8,0.194,0.3,959.42,1189.92,1074.67,9000.0,6047.76,8879.76
2026/2027,Sorriso,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.7,36,30%,61.7,0.0,0.003,0.0,4.74,2.37,9000.0,0.0,0.0
2026/2027,Sorriso,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.7,36,40%,82.3,0.028,0.016,5.26,36.03,20.64,9000.0,0.0,1238.09
2026/2027,Sorriso,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.7,36,50%,102.9,0.083,0.053,252.91,157.01,204.96,9000.0,198.5,4333.15
2026/2027,Sorriso,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.7,36,60%,123.4,0.167,0.111,636.21,421.49,528.85,9000.0,3128.36,7296.5
2026/2027,Sorriso,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.7,36,70%,144.0,0.194,0.204,1294.65,948.14,1121.4,9000.0,6247.53,9000.0
2026/2027,Sorriso,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.7,36,80%,164.6,0.25,0.315,1783.96,1724.2,1754.08,9000.0,9000.0,9000.0
2026/2027,Sorriso,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,257.2,36,30%,77.1,0.0,0.001,0.0,1.86,0.93,9000.0,0.0,0.0
2026/2027,Sorriso,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,257.2,36,40%,102.9,0.0,0.009,0.0,20.43,10.21,9000.0,0.0,0.0
2026/2027,Sorriso,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,257.2,36,50%,128.6,0.083,0.032,72.05,98.19,85.12,9000.0,0.0,3445.76
2026/2027,Sorriso,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,257.2,36,60%,154.3,0.139,0.084,539.83,335.3,437.56,9000.0,2281.9,7285.38
2026/2027,Sorriso,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,257.2,36,70%,180.0,0.167,0.17,1212.75,836.67,1024.71,9000.0,6147.76,9000.0
2026/2027,Sorriso,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,257.2,36,80%,205.7,0.222,0.283,1655.01,1634.01,1644.51,9000.0,9000.0,9000.0
2026/2027,Sorriso,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,266.9,35,30%,80.1,0.057,0.012,89.96,30.05,60.01,9000.0,0.0,416.77
2026/2027,Sorriso,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,266.9,35,40%,106.8,0.086,0.039,352.73,135.7,244.21,9000.0,0.0,4493.72
2026/2027,Sorriso,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,266.9,35,50%,133.5,0.114,0.089,711.67,397.0,554.33,9000.0,2890.92,8538.67
2026/2027,Sorriso,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,266.9,35,60%,160.2,0.114,0.163,991.02,886.38,938.7,9000.0,7035.54,9000.0
2026/2027,Sorriso,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,266.9,35,70%,186.9,0.229,0.254,1289.49,1589.04,1439.27,9000.0,9000.0,9000.0
2026/2027,Sorriso,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,266.9,35,80%,213.6,0.314,0.353,2041.58,2460.73,2251.15,9000.0,9000.0,9000.0
2026/2027,Sorriso,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,273.5,35,30%,82.0,0.029,0.006,136.94,11.4,74.17,9000.0,0.0,0.0
2026/2027,Sorriso,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,273.5,35,40%,109.4,0.057,0.023,333.04,71.5,202.27,9000.0,0.0,2656.47
2026/2027,Sorriso,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,273.5,35,50%,136.7,0.057,0.062,482.83,244.31,363.57,9000.0,1057.13,6378.14
