data_execucao,mes_ativo,chuva_realizado_cdd,n_anos_analogos,cdd_p10,cdd_p50,cdd_p90,premio_hba_bruto,prob_acionamento
2020-01-15,Janeiro,76.9,18,126.1,141.5,173.7,61945.05196176784,0.7777777777777778
2026-08-19,Agosto,23.5,23,28.5,34.7,58.7,73183.65125356951,1.0
2026-08-19,Agosto,23.5,23,28.5,34.7,58.7,73183.65125356951,1.0
2026-08-19,Agosto,23.5,23,28.5,34.7,58.7,73183.65125356951,1.0
2026-08-20,Agosto,23.5,23,28.2,33.6,54.1,66789.11266951096,0.9565217391304348
2026-08-21,Agosto,23.5,23,27.9,33.6,49.8,59210.0300474827,0.9565217391304348
2026-08-22,Agosto,23.5,23,27.6,33.6,46.3,51344.47943008052,0.9565217391304348
2026-08-23,Agosto,23.5,23,26.9,33.3,41.3,41702.889246824016,0.9565217391304348
2026-08-25,Agosto,23.5,23,24.5,30.6,36.3,23987.982624451226,0.782608695652174
2026-08-26,Agosto,23.5,23,24.3,28.0,35.8,17750.733757047354,0.6956521739130435
2026-08-27,Agosto,23.5,23,23.7,27.2,35.1,15601.877827434684,0.6086956521739131
