Cidade,Mes,Mes_Num,Data_Liquidacao,Taxa_Juros_Usada_pct,CDD_Media_Hist,CDD_Std_Hist,N_Anos_Financeiro,Strike_Desvios,Strike_CDD,Slope_MW_por_CDD,Prob_Acionamento_Hist,Prob_Acionamento_MC,Premio_HBA_RS,Premio_MC_RS,Premio_Medio_RS,VaR95_Vendedor_RS,Payoff_P99_RS
São Paulo,Janeiro,1,2027-02-06,13.3632,132.1,28.8,23,-1.0σ,103.3,21.53,0.87,0.872,150026.68,151918.09,150972.39,684329.84,753467.32
São Paulo,Janeiro,1,2027-02-06,13.3632,132.1,28.8,23,-0.5σ,117.7,21.53,0.739,0.739,114835.67,115616.44,115226.05,564111.69,632169.16
São Paulo,Janeiro,1,2027-02-06,13.3632,132.1,28.8,23,+0.0σ,132.1,21.53,0.609,0.611,81880.52,82390.74,82135.63,443893.54,510871.01
São Paulo,Janeiro,1,2027-02-06,13.3632,132.1,28.8,23,+0.5σ,146.4,21.53,0.261,0.259,58020.51,57580.79,57800.65,323675.4,389572.85
São Paulo,Janeiro,1,2027-02-06,13.3632,132.1,28.8,23,+1.0σ,160.8,21.53,0.261,0.263,37478.95,37785.54,37632.25,203457.25,268274.7
São Paulo,Janeiro,1,2027-02-06,13.3632,132.1,28.8,23,+1.5σ,175.2,21.53,0.217,0.215,17046.13,16934.19,16990.16,90883.74,146976.54
São Paulo,Fevereiro,2,2027-03-06,13.3567,120.5,24.3,23,-1.0σ,96.2,21.53,0.913,0.913,162999.02,162124.4,162561.71,268304.58,1823572.76
São Paulo,Fevereiro,2,2027-03-06,13.3567,120.5,24.3,23,-0.5σ,108.3,21.53,0.826,0.826,122412.76,120683.86,121548.31,152244.07,1608341.6
São Paulo,Fevereiro,2,2027-03-06,13.3567,120.5,24.3,23,+0.0σ,120.5,21.53,0.652,0.652,87456.31,86373.34,86914.82,104659.79,1393110.44
São Paulo,Fevereiro,2,2027-03-06,13.3567,120.5,24.3,23,+0.5σ,132.6,21.53,0.348,0.351,66619.79,66151.46,66385.62,80134.59,1177879.29
São Paulo,Fevereiro,2,2027-03-06,13.3567,120.5,24.3,23,+1.0σ,144.8,21.53,0.174,0.173,52044.46,50174.03,51109.24,55609.39,962648.13
São Paulo,Fevereiro,2,2027-03-06,13.3567,120.5,24.3,23,+1.5σ,156.9,21.53,0.13,0.13,39452.52,40427.41,39939.96,31084.18,747416.97
São Paulo,Março,3,2027-04-06,13.3735,110.8,27.3,23,-1.0σ,83.5,21.53,0.957,0.957,167815.77,169361.63,168588.7,754714.99,1098538.75
São Paulo,Março,3,2027-04-06,13.3735,110.8,27.3,23,-0.5σ,97.2,21.53,0.826,0.825,120971.8,119525.93,120248.86,660063.69,856613.78
